raceId,raceName,course,distance,baba,place,barei,jouken
201705021006,3歳500万下,芝,1600,良,東京,3歳,500万
201705021007,4歳上500万下,芝,2000,良,東京,4歳以上,500万
201705021008,日吉特別,ダ,1400,良,東京,4歳以上,1000万
201705021009,調布特別,芝,1800,良,東京,4歳以上,1000万
201705021010,フリーウェイS,芝,1400,良,東京,4歳以上,1600万
201705021011,第78回優駿牝馬(G1),芝,2400,良,東京,3歳,
201705021012,丹沢ステークス,ダ,2100,良,東京,4歳以上,1600万
201705021101,3歳未勝利,ダ,1600,重,東京,3歳,未勝利
201705021102,3歳未勝利,ダ,1300,重,東京,3歳,未勝利
201705021103,3歳未勝利,ダ,1600,重,東京,3歳,未勝利
201705021104,3歳未勝利,芝,1600,稍,東京,3歳,未勝利
201705021105,3歳500万下,芝,2400,良,東京,3歳,500万
201705021106,3歳500万下,芝,1800,良,東京,3歳,500万
201705021107,4歳上500万下,ダ,1400,重,東京,4歳以上,500万
201705021108,4歳上500万下,芝,1600,良,東京,4歳以上,500万
201705021109,富嶽賞,ダ,1400,重,東京,4歳以上,1000万
201705021110,葉山特別,芝,1600,良,東京,4歳以上,1000万
201705021111,欅ステークス,ダ,1400,重,東京,4歳以上,
201705021112,4歳上1000万下,ダ,1600,重,東京,4歳以上,1000万
201705021201,3歳未勝利,ダ,1600,稍,東京,3歳,未勝利
201705021202,3歳未勝利,ダ,1400,稍,東京,3歳,未勝利
201705021203,3歳未勝利,芝,1800,良,東京,3歳,未勝利
201705021204,3歳500万下,ダ,1400,稍,東京,3歳,500万
201705021205,3歳500万下,ダ,1600,稍,東京,3歳,500万
201705021206,3歳500万下,芝,1400,良,東京,3歳,500万
201705021207,4歳上500万下,ダ,1600,稍,東京,4歳以上,500万
201705021208,青嵐賞,芝,2400,良,東京,4歳以上,1000万
201705021209,むらさき賞,芝,1800,良,東京,4歳以上,1600万
201705021210,第84回東京優駿(G1),芝,2400,良,東京,3歳,
201705021211,薫風ステークス,ダ,1600,稍,東京,4歳以上,1600万
201705021212,第131回目黒記念(G2),芝,2500,良,東京,4歳以上,
201705030101,3歳未勝利,ダ,1400,良,東京,3歳,未勝利
201705030102,3歳未勝利,ダ,1600,良,東京,3歳,未勝利
201705030103,3歳未勝利,ダ,2100,良,東京,3歳,未勝利
201705030104,障害3歳上オープン,障, ダート,良,東京,3歳,
201705030105,2歳新馬,芝,1400,良,東京,2歳,新馬
201705030106,3歳未勝利,芝,1800,良,東京,3歳,未勝利
201705030107,3歳上500万下,ダ,1300,良,東京,3歳,500万
201705030108,3歳上500万下,ダ,1600,良,東京,3歳,500万
201705030109,国分寺特別,芝,1600,良,東京,3歳,500万
201705030110,稲村ヶ崎特別,芝,2000,良,東京,3歳,1000万
201705030111,麦秋ステークス,ダ,1400,良,東京,3歳,1600万
201705030112,3歳上500万下,芝,1400,良,東京,3歳,500万
201705030201,3歳未勝利,ダ,1600,良,東京,3歳,未勝利
201705030202,3歳未勝利,ダ,1300,良,東京,3歳,未勝利
201705030203,3歳未勝利,芝,1400,良,東京,3歳,未勝利
201705030204,3歳未勝利,芝,2400,良,東京,3歳,未勝利
201705030205,2歳新馬,芝,1600,良,東京,2歳,新馬
201705030206,3歳未勝利,ダ,1400,良,東京,3歳,未勝利
201705030207,3歳上500万下,ダ,2100,良,東京,3歳,500万
201705030208,3歳上500万下,ダ,1400,良,東京,3歳,500万
201705030209,ホンコンJCT,芝,2000,良,東京,3歳,500万
201705030210,由比ヶ浜特別,芝,1400,良,東京,3歳,1000万
201705030211,第67回安田記念(G1),芝,1600,良,東京,3歳,
201705030212,三浦特別,ダ,1600,良,東京,3歳,1000万
201705030301,3歳未勝利,ダ,1600,良,東京,3歳,未勝利
201705030302,3歳未勝利,ダ,1300,良,東京,3歳,未勝利
201705030303,3歳未勝利,ダ,1400,良,東京,3歳,未勝利
201705030304,障害3歳上未勝利,障, ダート,良,東京,3歳,未勝利
201705030305,2歳新馬,芝,1400,良,東京,2歳,新馬
201705030306,3歳未勝利,芝,2000,良,東京,3歳,未勝利
201705030307,3歳上500万下,ダ,1600,良,東京,3歳,500万
201705030308,3歳上500万下,芝,2400,良,東京,3歳,500万
201705030309,江の島特別,芝,1600,良,東京,3歳,1000万
201705030310,八王子特別,ダ,2100,良,東京,3歳,1000万
201705030311,アハルテケステークス,ダ,1600,良,東京,3歳,
201705030312,3歳上500万下,芝,1400,良,東京,3歳,500万
201705030401,3歳未勝利,ダ,1400,良,東京,3歳,未勝利
201705030402,3歳未勝利,ダ,1600,良,東京,3歳,未勝利
201705030403,3歳未勝利,ダ,2100,良,東京,3歳,未勝利
201705030404,3歳未勝利,芝,1600,良,東京,3歳,未勝利
201705030405,2歳新馬,芝,1800,良,東京,2歳,新馬
201705030406,2歳新馬,芝,1600,良,東京,2歳,新馬
201705030407,3歳上500万下,ダ,1400,良,東京,3歳,500万
201705030408,3歳上500万下,芝,1800,良,東京,3歳,500万
201705030409,小金井特別,ダ,1400,良,東京,3歳,1000万
201705030410,多摩川ステークス,芝,1600,良,東京,3歳,1600万
201705030411,第34回エプソムカップ(G3),芝,1800,良,東京,3歳,
201705030412,3歳上500万下,ダ,1600,良,東京,3歳,500万
201705030501,2歳未勝利,芝,1400,良,東京,2歳,未勝利
201705030502,3歳未勝利,ダ,1600,良,東京,3歳,未勝利
201705030503,3歳未勝利,ダ,1400,良,東京,3歳,未勝利
201705030504,障害3歳上未勝利,障, ダート,良,東京,3歳,未勝利
201705030505,2歳新馬,ダ,1400,良,東京,2歳,新馬
201705030506,3歳未勝利,芝,1400,良,東京,3歳,未勝利
201705030507,3歳上500万下,ダ,2100,良,東京,3歳,500万
201705030508,3歳上500万下,ダ,1300,良,東京,3歳,500万
201705030509,八丈島特別,芝,1800,良,東京,3歳,500万
201705030510,相模湖特別,芝,1400,良,東京,3歳,1000万
